Dogleg Logs

x =[0.0413;0.6432;0.6756;0.9006;0.4818;0.7941;0.8919;0.9035;0.7755;0.9288;0.8659;0.5903]


fvalue =

    7.4743


tvals =

     0

iter =  68: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  69: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  70: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  71: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  72: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  73: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  74: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  75: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  76: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  77: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  78: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  79: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  80: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  81: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  82: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  83: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  84: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  85: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  86: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  87: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  88: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  89: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  90: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  91: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  92: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  93: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  94: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  95: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  96: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  97: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  98: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  99: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter = 100: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter = 101: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
G(x) = 
    1.7681

Elapsed time is 6.572336 seconds.


Subspace Minimization Logs:


x =[0.7967;0.0322;0.0121;0.5089;0.6617;0.9302;0.1893;0.9486;0.0772;0.3338;0.5090;0.1753]


fvalue =

   19.4516


tvals =

     0

iter =   2: x = [0.616781;0.18658;0.00324054;0.37686;0.776614;0.805431;0.240769;0.712564;0.0790746;0.250077;0.427819;0.139388], F(x) = 9.547405
iter =   3: x = [0.520749;0.253815;-0.0307736;0.246842;0.877857;0.735485;0.323731;0.486667;0.0601461;0.165901;0.385155;0.146031], F(x) = 5.660862
iter =   4: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =   5: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =   6: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =   7: x = [0.448891;0.226861;-	0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =   8: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =   9: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  10: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  11: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  12: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  13: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  14: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  15: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  16: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  17: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  18: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  19: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  20: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  21: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  22: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  23: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  24: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  25: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  26: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  27: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  28: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  29: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  30: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  31: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  32: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  33: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  34: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  35: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  36: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  37: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  38: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  39: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  40: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  41: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  42: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  43: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  44: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  45: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  46: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  47: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  48: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  49: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
